N,q,pair,axis_note,metric,median_a_us,median_b_us,delta_pct_pos_a_faster,reps_a,reps_b,rep_direction_consistency,mw_p_all_iters,verdict
4096,4,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,8284.6,10840.1,23.575,5,5,5/5,0.00e+00,SIG
4096,4,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,13444.7,18355.9,26.756,5,5,5/5,0.00e+00,SIG
4096,4,d1_vs_ds,INVALID if ds serial gate missing (bug): noise characterisation,e2e_max_us,13444.7,13444.4,-0.002,5,5,2/5,6.12e-01,NS
4096,4,r1_vs_d1,substrate gap under overlap,e2e_max_us,8284.6,13444.7,38.380,5,5,5/5,0.00e+00,SIG
4096,8,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,4165.3,4238.5,1.726,5,5,5/5,0.00e+00,SIG
4096,8,r1_C2_vs_C0,"resource axis, e2e (reversal core)",e2e_max_us,8614.1,8771.5,1.794,5,5,5/5,0.00e+00,SIG
4096,8,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,8771.5,11017.1,20.383,5,5,5/5,0.00e+00,SIG
4096,8,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,8771.5,10833.9,19.037,5,5,5/5,0.00e+00,SIG
4096,8,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,21879.2,18352.8,-19.214,5,5,5/5,0.00e+00,SIG
4096,8,d1_vs_ds,INVALID if ds serial gate missing (bug): noise characterisation,e2e_max_us,21879.2,21618.4,-1.206,5,5,4/5,3.00e-03,WEAK
4096,8,r1_vs_d1,substrate gap under overlap,e2e_max_us,8771.5,21879.2,59.909,5,5,5/5,0.00e+00,SIG
