case_id,path,family,candidate,N,q,rep,iterations,release_first_med_us,release_last_med_us,release_pacing_med_us,release_to_gemm_delay_med_us,gemm_dur_med_us
case078_r0_C0_DEFAULT_N512_q4_rep3,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,4,3,80,4052.8,4052.8,,16.2,1026.2
case079_r0_C0_DEFAULT_N512_q4_rep4,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,4,4,80,4052.7,4052.7,,16.2,1027.0
case080_r0_C0_DEFAULT_N512_q4_rep5,R0_FULL_SERIAL,RCCL,C0_DEFAULT,512,4,5,80,4051.6,4051.6,,16.2,1025.8
case081_rs_C0_DEFAULT_N512_q4_rep1,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,4,1,80,1060.0,5046.4,1330.5,10.1,287.0
case082_rs_C0_DEFAULT_N512_q4_rep2,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,4,2,80,1064.1,5066.1,1334.0,10.2,283.7
case083_rs_C0_DEFAULT_N512_q4_rep3,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,4,3,80,1060.8,5052.3,1332.4,10.1,283.6
case084_rs_C0_DEFAULT_N512_q4_rep4,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,4,4,80,1058.2,5016.7,1317.9,10.2,281.7
case085_rs_C0_DEFAULT_N512_q4_rep5,RS_SLICE_SERIAL,RCCL,C0_DEFAULT,512,4,5,80,1059.5,5055.2,1333.3,10.2,285.0
case086_r1_C0_DEFAULT_N512_q4_rep1,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,4,1,80,1061.3,4269.6,1069.7,10.7,968.6
case087_r1_C0_DEFAULT_N512_q4_rep2,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,4,2,80,1056.0,4272.1,1071.5,10.7,965.2
case088_r1_C0_DEFAULT_N512_q4_rep3,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,4,3,80,1059.5,4267.8,1070.5,10.7,969.2
case089_r1_C0_DEFAULT_N512_q4_rep4,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,4,4,80,1057.1,4262.5,1068.5,10.7,967.6
case090_r1_C0_DEFAULT_N512_q4_rep5,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,512,4,5,80,1058.7,4264.6,1069.1,10.7,967.3
case091_r1_C2_RING_SIMPLE_CH8_N512_q4_rep1,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,512,4,1,80,1034.4,4108.4,1028.4,108.9,1003.0
case092_r1_C2_RING_SIMPLE_CH8_N512_q4_rep2,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,512,4,2,80,1036.0,4109.5,1028.5,82.6,1003.1
case093_r1_C2_RING_SIMPLE_CH8_N512_q4_rep3,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,512,4,3,80,1035.6,4110.0,1027.8,109.2,1002.5
case094_r1_C2_RING_SIMPLE_CH8_N512_q4_rep4,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,512,4,4,80,1040.2,4114.6,1028.1,108.2,988.3
case095_r1_C2_RING_SIMPLE_CH8_N512_q4_rep5,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,512,4,5,80,1034.5,4112.2,1029.4,110.0,1007.2
case096_fc_C0_DEFAULT_N512_q4_rep1,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,4,1,80,11523.8,11523.8,,-11523.8,0.0
case097_fc_C0_DEFAULT_N512_q4_rep2,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,4,2,80,11525.4,11525.4,,-11525.4,0.0
case098_fc_C0_DEFAULT_N512_q4_rep3,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,4,3,80,11517.5,11517.5,,-11517.5,0.0
case099_fc_C0_DEFAULT_N512_q4_rep4,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,4,4,80,11535.7,11535.7,,-11535.7,0.0
case100_fc_C0_DEFAULT_N512_q4_rep5,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,512,4,5,80,11541.1,11541.1,,-11541.1,0.0
case101_dc_C0_DEFAULT_N512_q4_rep1,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,4,1,80,2671.1,7572.4,1090.4,-6311.5,0.0
case102_dc_C0_DEFAULT_N512_q4_rep2,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,4,2,80,2659.4,7535.6,1099.3,-6333.1,0.0
case103_dc_C0_DEFAULT_N512_q4_rep3,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,4,3,80,2660.1,7523.2,1103.5,-6202.2,0.0
case104_dc_C0_DEFAULT_N512_q4_rep4,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,4,4,80,2672.5,7604.8,1085.2,-6227.0,0.0
case105_dc_C0_DEFAULT_N512_q4_rep5,DC_PUSHSIG_ONLY,DUSHMEM,C0_DEFAULT,512,4,5,80,2679.7,7614.2,1080.3,-6329.8,0.0
case106_d0_C0_DEFAULT_N512_q4_rep1,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,4,1,80,11520.3,11520.3,,16.2,1026.1
case107_d0_C0_DEFAULT_N512_q4_rep2,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,4,2,80,11511.0,11511.0,,16.2,1026.6
case108_d0_C0_DEFAULT_N512_q4_rep3,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,4,3,80,11529.8,11529.8,,16.3,1027.3
case109_d0_C0_DEFAULT_N512_q4_rep4,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,4,4,80,11536.6,11536.6,,16.2,1027.1
case110_d0_C0_DEFAULT_N512_q4_rep5,D0_FCOLLECT_SERIAL,DUSHMEM,C0_DEFAULT,512,4,5,80,11511.5,11511.5,,16.3,1026.7
case111_ds_C0_DEFAULT_N512_q4_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,1,80,7560.4,8596.6,346.4,5.6,306.6
case112_ds_C0_DEFAULT_N512_q4_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,2,80,7548.7,8576.0,344.5,5.6,304.3
case113_ds_C0_DEFAULT_N512_q4_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,3,80,7581.7,8648.4,356.8,5.6,307.8
case114_ds_C0_DEFAULT_N512_q4_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,4,80,7548.1,8578.6,344.9,5.6,305.5
case115_ds_C0_DEFAULT_N512_q4_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,512,4,5,80,7550.1,8608.1,351.3,5.6,311.3
case116_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,4,1,80,7543.2,8575.1,342.9,5.6,303.5
case117_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,4,2,80,7564.9,8641.5,357.5,5.6,313.1
case118_d1_C0_DEFAULT_N512_q4_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,4,3,80,7570.3,8610.7,346.2,5.6,302.8
case119_d1_C0_DEFAULT_N512_q4_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,4,4,80,7547.7,8613.2,355.1,5.4,306.1
case120_d1_C0_DEFAULT_N512_q4_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,512,4,5,80,7543.7,8632.2,359.2,5.4,311.8
case121_comm_C0_DEFAULT_N512_q8_rep1,COMM_ONLY,RCCL,C0_DEFAULT,512,8,1,80,539.4,4223.8,526.4,-2639.0,0.0
case122_comm_C0_DEFAULT_N512_q8_rep2,COMM_ONLY,RCCL,C0_DEFAULT,512,8,2,80,537.7,4221.0,526.2,-2396.3,0.0
case123_comm_C0_DEFAULT_N512_q8_rep3,COMM_ONLY,RCCL,C0_DEFAULT,512,8,3,80,537.7,4220.6,525.9,-2639.4,0.0
case124_comm_C0_DEFAULT_N512_q8_rep4,COMM_ONLY,RCCL,C0_DEFAULT,512,8,4,80,539.7,4222.0,525.9,-2639.6,0.0
case125_comm_C0_DEFAULT_N512_q8_rep5,COMM_ONLY,RCCL,C0_DEFAULT,512,8,5,80,538.0,4220.6,526.1,-2389.5,0.0
case126_comm_C2_RING_SIMPLE_CH8_N512_q8_rep1,COMM_ONLY,RCCL,C2_RING_SIMPLE_CH8,512,8,1,80,529.1,4151.9,517.4,-2376.0,0.0
