N,q,pair,axis_note,metric,source_a,source_b,median_a_us,median_b_us,delta_pct_pos_a_faster,reps_a,reps_b,rep_direction_consistency,mw_p_all_iters,verdict
4096,2,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,13926.4,18344.2,24.083,5,5,5/5,0.00e+00,SIG
4096,2,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,13953.0,18344.2,23.938,5,5,5/5,0.00e+00,SIG
4096,2,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,13953.0,13926.4,-0.191,5,5,3/5,4.05e-02,WEAK
4096,2,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,13911.9,18344.2,24.162,5,5,5/5,0.00e+00,SIG
4096,2,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,8798.5,13926.4,36.822,5,5,5/5,0.00e+00,SIG
4096,2,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,8798.5,13953.0,36.942,5,5,5/5,0.00e+00,SIG
4096,2,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,13925.5,7491.1,-85.893,5,5,5/5,0.00e+00,SIG
4096,2,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,13951.9,7491.1,-86.246,5,5,5/5,0.00e+00,SIG
4096,4,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,3995.0,4082.9,2.154,5,5,5/5,0.00e+00,SIG
4096,4,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,8261.9,8284.6,0.273,5,5,5/5,4.78e-02,WEAK
4096,4,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,8284.6,9770.8,15.211,5,5,5/5,0.00e+00,SIG
4096,4,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,8284.6,10840.1,23.575,5,5,5/5,0.00e+00,SIG
4096,4,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,12885.2,12886.9,0.013,5,5,3/5,9.08e-01,NS
4096,4,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,12939.2,12886.9,-0.406,5,5,5/5,0.00e+00,SIG
4096,4,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,12885.2,18355.9,29.804,5,5,5/5,0.00e+00,SIG
4096,4,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,12939.2,18355.9,29.509,5,5,5/5,0.00e+00,SIG
4096,4,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,12939.2,12885.2,-0.419,5,5,5/5,0.00e+00,SIG
4096,4,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,12886.9,18355.9,29.795,5,5,5/5,0.00e+00,SIG
4096,4,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,8284.6,12885.2,35.705,5,5,5/5,0.00e+00,SIG
4096,4,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,8284.6,12939.2,35.973,5,5,5/5,0.00e+00,SIG
4096,4,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,12883.3,7577.2,-70.027,5,5,5/5,0.00e+00,SIG
4096,4,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,12938.0,7577.2,-70.749,5,5,5/5,0.00e+00,SIG
4096,8,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,formal,formal,4165.3,4238.5,1.726,5,5,5/5,0.00e+00,SIG
4096,8,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,formal,formal,8614.1,8771.5,1.794,5,5,5/5,0.00e+00,SIG
4096,8,r1_vs_rs,"overlap gain, RCCL",e2e_max_us,formal,formal,8771.5,11017.1,20.383,5,5,5/5,0.00e+00,SIG
4096,8,r1_vs_r0,"overlap gain vs bulk, RCCL",e2e_max_us,formal,formal,8771.5,10833.9,19.037,5,5,5/5,0.00e+00,SIG
4096,8,d1_vs_ds,overlap gain vs TRUE serial (post-fix),e2e_max_us,dsfix,dsfix,14484.4,14461.2,-0.160,5,5,4/5,6.60e-02,NS
4096,8,d1w_vs_ds,wait-stream overlap gain vs TRUE serial,e2e_max_us,dsfix,dsfix,14543.4,14461.2,-0.569,5,5,4/5,9.95e-04,WEAK
4096,8,d1_vs_d0,"release semantics flip, DUSHMEM",e2e_max_us,dsfix,formal,14484.4,18352.8,21.078,5,5,5/5,0.00e+00,SIG
4096,8,d1w_vs_d0,wait-stream vs bulk fcollect,e2e_max_us,dsfix,formal,14543.4,18352.8,20.756,5,5,5/5,0.00e+00,SIG
4096,8,d1w_vs_d1,wait-placement effect,e2e_max_us,dsfix,dsfix,14543.4,14484.4,-0.408,5,5,4/5,8.67e-02,NS
4096,8,ds_vs_d0,"true serial baselines, put-signal vs fcollect",e2e_max_us,dsfix,formal,14461.2,18352.8,21.204,5,5,5/5,0.00e+00,SIG
4096,8,r1_vs_d1,substrate gap under overlap,e2e_max_us,formal,dsfix,8771.5,14484.4,39.442,5,5,5/5,0.00e+00,SIG
4096,8,r1_vs_d1w,substrate gap under fixed overlap,e2e_max_us,formal,dsfix,8771.5,14543.4,39.688,5,5,5/5,0.00e+00,SIG
4096,8,d1_stretch_vs_dc,sliced-release stretch (d1 done vs pure transport),t_done_max_us,dsfix,formal,14482.2,11293.2,-28.238,5,5,5/5,0.00e+00,SIG
4096,8,d1w_stretch_vs_dc,sliced-release stretch post wait-placement fix,t_done_max_us,dsfix,formal,14541.5,11293.2,-28.764,5,5,5/5,0.00e+00,SIG
4096,16,comm_C2_vs_C0,"resource axis, isolated",t_done_max_us,dsfix,dsfix,4523.5,4562.8,0.861,5,5,5/5,0.00e+00,SIG
4096,16,r1_C2_vs_C0,"resource axis, e2e",e2e_max_us,dsfix,dsfix,8911.8,8850.1,-0.697,5,5,5/5,0.00e+00,SIG
