case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case029_r1_C0_DEFAULT_N512_q2_rep4,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,4,0,2061.1,2071.7,2826.5,757.6
case029_r1_C0_DEFAULT_N512_q2_rep4,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,4,1,4220.3,4230.4,4774.9,550.0
case030_r1_C0_DEFAULT_N512_q2_rep5,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,5,0,2060.5,2071.3,2824.7,759.0
case030_r1_C0_DEFAULT_N512_q2_rep5,R1_EVENT_OVERLAP,C0_DEFAULT,512,2,5,1,4223.9,4234.1,4779.0,549.2
case031_r1_C2_RING_SIMPLE_CH8_N512_q2_rep1,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,1,0,2002.4,2013.2,3363.7,1355.2
case031_r1_C2_RING_SIMPLE_CH8_N512_q2_rep1,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,1,1,3973.7,3983.8,4528.9,554.1
case032_r1_C2_RING_SIMPLE_CH8_N512_q2_rep2,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,2,0,2004.2,2015.1,3366.4,1356.0
case032_r1_C2_RING_SIMPLE_CH8_N512_q2_rep2,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,2,1,3973.1,3983.2,4528.5,549.5
case033_r1_C2_RING_SIMPLE_CH8_N512_q2_rep3,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,3,0,2005.8,2017.2,3369.4,1356.8
case033_r1_C2_RING_SIMPLE_CH8_N512_q2_rep3,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,3,1,3976.2,3986.3,4533.1,549.7
case034_r1_C2_RING_SIMPLE_CH8_N512_q2_rep4,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,4,0,2004.0,2014.8,3368.8,1356.7
case034_r1_C2_RING_SIMPLE_CH8_N512_q2_rep4,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,4,1,3976.1,3986.1,4531.5,550.0
case035_r1_C2_RING_SIMPLE_CH8_N512_q2_rep5,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,5,0,2004.3,2015.1,3366.4,1356.5
case035_r1_C2_RING_SIMPLE_CH8_N512_q2_rep5,R1_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,512,2,5,1,3975.6,3985.6,4531.2,551.8
case036_fc_C0_DEFAULT_N512_q2_rep1,FC_FCOLLECT_ONLY,C0_DEFAULT,512,2,1,0,11541.3,0.0,0.0,0.0
case037_fc_C0_DEFAULT_N512_q2_rep2,FC_FCOLLECT_ONLY,C0_DEFAULT,512,2,2,0,11511.3,0.0,0.0,0.0
case038_fc_C0_DEFAULT_N512_q2_rep3,FC_FCOLLECT_ONLY,C0_DEFAULT,512,2,3,0,11537.1,0.0,0.0,0.0
case039_fc_C0_DEFAULT_N512_q2_rep4,FC_FCOLLECT_ONLY,C0_DEFAULT,512,2,4,0,11535.1,0.0,0.0,0.0
case040_fc_C0_DEFAULT_N512_q2_rep5,FC_FCOLLECT_ONLY,C0_DEFAULT,512,2,5,0,11507.8,0.0,0.0,0.0
case041_dc_C0_DEFAULT_N512_q2_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,1,0,5442.9,0.0,0.0,0.0
case041_dc_C0_DEFAULT_N512_q2_rep1,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,1,1,7446.1,0.0,0.0,0.0
case042_dc_C0_DEFAULT_N512_q2_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,2,0,5433.6,0.0,0.0,0.0
case042_dc_C0_DEFAULT_N512_q2_rep2,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,2,1,7444.4,0.0,0.0,0.0
case043_dc_C0_DEFAULT_N512_q2_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,3,0,5448.6,0.0,0.0,0.0
case043_dc_C0_DEFAULT_N512_q2_rep3,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,3,1,7451.6,0.0,0.0,0.0
case044_dc_C0_DEFAULT_N512_q2_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,4,0,5444.4,0.0,0.0,0.0
case044_dc_C0_DEFAULT_N512_q2_rep4,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,4,1,7449.3,0.0,0.0,0.0
case045_dc_C0_DEFAULT_N512_q2_rep5,DC_PUSHSIG_ONLY,C0_DEFAULT,512,2,5,0,5453.4,0.0,0.0,0.0
