candidate,N,q,path,family,reps,t_done_p50_us,e2e_p50_us,release_last_p50_us,e2e_p05_us,e2e_p95_us,release_gap_us,comm_compute_overlap_us,e2e_p50_stdev_us,source
C0_DEFAULT,512,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,11519.604,12563.292,11513.523,12549.225,12590.812,1043.689,1043.689,15.436,formal
C0_DEFAULT,512,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,17853.158,17853.237,17473.338,17718.455,18111.862,0.079,0.079,134.286,dsfix
C0_DEFAULT,512,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,17595.251,17598.290,17192.634,17239.526,17816.037,3.039,3.039,224.536,dsfix
C0_DEFAULT,512,8,DC_PUSHSIG_ONLY,DUSHMEM,5,11108.655,11121.135,11099.536,10263.422,12016.845,12.480,12.480,602.633,formal
C0_DEFAULT,512,8,DS_PUSHSIG_SERIAL,DUSHMEM,5,17785.175,17785.176,17419.670,17665.342,18074.921,0.001,0.001,136.019,dsfix
C0_DEFAULT,512,8,FC_FCOLLECT_ONLY,DUSHMEM,5,11507.924,11523.842,11518.243,11518.737,11547.513,15.918,15.918,12.582,formal
C0_DEFAULT,512,8,GEMM_ONLY,RCCL,5,1817.899,1823.498,0.000,1823.017,1831.428,5.600,5.600,3.244,formal
C0_DEFAULT,512,8,R0_FULL_SERIAL,RCCL,5,4059.212,5098.033,4053.052,5095.234,5104.112,1038.821,1038.821,3.052,formal
C0_DEFAULT,512,8,R1_EVENT_OVERLAP,RCCL,5,4464.149,4692.221,4457.358,4682.938,4695.097,228.072,228.072,4.539,formal
C0_DEFAULT,512,8,RS_SLICE_SERIAL,RCCL,5,5983.744,6211.891,5977.345,6210.291,6215.011,228.147,228.147,1.917,formal
C0_DEFAULT,2048,2,COMM_ONLY,RCCL,5,4018.579,4024.174,4013.055,4023.935,4027.773,5.595,5.595,1.468,formal
C0_DEFAULT,2048,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,11555.430,14340.006,11549.442,14331.515,14355.468,2784.576,2784.576,8.660,formal
C0_DEFAULT,2048,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,10214.064,10215.264,8698.711,10197.516,10247.673,1.200,1.200,16.414,dsfix
C0_DEFAULT,2048,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,10210.547,10212.066,8698.159,10185.605,10218.785,1.519,1.519,11.666,dsfix
C0_DEFAULT,2048,2,DC_PUSHSIG_ONLY,DUSHMEM,5,7479.101,7479.587,7470.387,7476.301,7485.986,0.485,0.485,3.908,formal
C0_DEFAULT,2048,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,10217.603,10218.645,8703.191,10193.439,10226.475,1.042,1.042,13.851,dsfix
C0_DEFAULT,2048,2,FC_FCOLLECT_ONLY,DUSHMEM,5,11551.851,11567.693,11562.172,11556.071,11584.100,15.842,15.842,9.073,formal
C0_DEFAULT,2048,2,GEMM_ONLY,RCCL,5,3096.135,3102.216,0.000,3100.391,3106.389,6.081,6.081,1.986,formal
C0_DEFAULT,2048,2,R0_FULL_SERIAL,RCCL,5,4065.611,6848.095,4059.292,6837.535,6855.696,2782.484,2782.484,6.792,formal
C0_DEFAULT,2048,2,R1_EVENT_OVERLAP,RCCL,5,4654.458,6086.778,4647.898,6080.298,6093.984,1432.320,1432.320,5.170,formal
C0_DEFAULT,2048,2,RS_SLICE_SERIAL,RCCL,5,5559.368,6989.694,5552.889,6986.008,6990.727,1430.326,1430.326,1.953,formal
C0_DEFAULT,2048,4,COMM_ONLY,RCCL,5,4079.477,4084.998,4073.962,4083.370,4091.655,5.521,5.521,2.919,formal
C0_DEFAULT,2048,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,11546.073,14336.394,11540.152,14324.477,14338.409,2790.320,2790.320,5.556,formal
C0_DEFAULT,2048,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,10333.660,10335.500,9506.985,10311.442,10363.897,1.840,1.840,17.238,dsfix
C0_DEFAULT,2048,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,10305.599,10306.640,9482.685,10262.624,10308.941,1.041,1.041,17.998,dsfix
C0_DEFAULT,2048,4,DC_PUSHSIG_ONLY,DUSHMEM,5,7588.307,7590.307,7580.948,7566.787,7625.825,2.000,2.000,20.578,formal
C0_DEFAULT,2048,4,DS_PUSHSIG_SERIAL,DUSHMEM,5,10298.301,10299.511,9478.925,10231.505,10349.676,1.209,1.209,47.351,dsfix
C0_DEFAULT,2048,4,FC_FCOLLECT_ONLY,DUSHMEM,5,11550.933,11566.454,11560.934,11548.230,11577.670,15.521,15.521,10.574,formal
C0_DEFAULT,2048,4,GEMM_ONLY,RCCL,5,3221.345,3227.184,0.000,3220.705,3236.956,5.840,5.840,6.186,formal
C0_DEFAULT,2048,4,R0_FULL_SERIAL,RCCL,5,4063.948,6845.935,4057.786,6844.097,6850.341,2781.987,2781.987,2.355,formal
C0_DEFAULT,2048,4,R1_EVENT_OVERLAP,RCCL,5,4290.403,5122.167,4273.760,5114.437,5125.399,831.764,831.764,3.707,formal
C0_DEFAULT,2048,4,RS_SLICE_SERIAL,RCCL,5,6447.003,7190.557,6441.077,7184.729,7194.716,743.554,743.554,3.585,formal
C0_DEFAULT,2048,8,COMM_ONLY,RCCL,5,4233.552,4239.158,4228.102,4237.602,4241.761,5.606,5.606,1.669,formal
C0_DEFAULT,2048,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,11550.252,14336.712,11544.252,14329.595,14345.527,2786.461,2786.461,5.839,formal
C0_DEFAULT,2048,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,18392.407,18394.806,17409.757,17772.520,19137.341,2.399,2.399,453.174,dsfix
C0_DEFAULT,2048,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,18577.948,18579.789,17624.666,17984.007,18661.606,1.841,1.841,273.479,dsfix
C0_DEFAULT,2048,8,DC_PUSHSIG_ONLY,DUSHMEM,5,10485.739,10613.992,10603.587,10216.225,11012.656,128.253,128.253,287.519,formal
C0_DEFAULT,2048,8,DS_PUSHSIG_SERIAL,DUSHMEM,5,18379.880,18383.719,17846.933,17873.346,18566.576,3.839,3.839,240.132,dsfix
C0_DEFAULT,2048,8,FC_FCOLLECT_ONLY,DUSHMEM,5,11544.950,11560.229,11554.710,11546.723,11573.511,15.279,15.279,10.566,formal
C0_DEFAULT,2048,8,GEMM_ONLY,RCCL,5,3769.392,3775.072,0.000,3772.432,3780.591,5.680,5.680,2.728,formal
C0_DEFAULT,2048,8,R0_FULL_SERIAL,RCCL,5,4064.012,6846.403,4058.172,6843.882,6849.055,2782.391,2782.391,1.713,formal
C0_DEFAULT,2048,8,R1_EVENT_OVERLAP,RCCL,5,4682.217,5400.203,4676.138,5396.578,5402.422,717.986,717.986,2.060,formal
C0_DEFAULT,2048,8,RS_SLICE_SERIAL,RCCL,5,7521.337,7965.154,7515.018,7959.393,7968.912,443.816,443.816,3.391,formal
C0_DEFAULT,2048,16,COMM_ONLY,RCCL,5,4552.205,4557.806,4546.532,4553.665,4559.908,5.601,5.601,2.097,formal
C0_DEFAULT,2048,16,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,23879.778,23879.779,23167.857,21949.245,25524.771,0.001,0.001,1202.564,dsfix
C0_DEFAULT,2048,16,D1_PUSHSIG_OVERLAP,DUSHMEM,5,24360.952,24360.952,22250.828,22124.454,25341.002,0.000,0.000,1077.222,dsfix
C0_DEFAULT,2048,16,DC_PUSHSIG_ONLY,DUSHMEM,5,14924.936,15106.765,15029.475,14742.533,15546.245,181.829,181.829,258.635,formal
C0_DEFAULT,2048,16,DS_PUSHSIG_SERIAL,DUSHMEM,5,24750.690,24751.969,23042.406,23258.012,24883.940,1.280,1.280,616.904,dsfix
C0_DEFAULT,2048,16,GEMM_ONLY,RCCL,5,3705.396,3711.315,0.000,3706.678,3716.592,5.919,5.919,3.976,formal
C0_DEFAULT,2048,16,R1_EVENT_OVERLAP,RCCL,5,5466.894,5830.553,5460.580,5818.876,5843.913,363.659,363.659,7.948,formal
C0_DEFAULT,2048,16,RS_SLICE_SERIAL,RCCL,5,8116.351,8338.615,8109.903,8330.092,8341.051,222.264,222.264,3.806,formal
C0_DEFAULT,4096,2,COMM_ONLY,RCCL,5,4027.054,4032.493,4021.454,4029.374,4033.591,5.439,5.439,1.593,formal
C0_DEFAULT,4096,2,D0_FCOLLECT_SERIAL,DUSHMEM,5,11595.998,18346.330,11589.917,18339.545,18349.625,6750.332,6750.332,3.546,formal
C0_DEFAULT,4096,2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,13969.055,13970.427,10522.836,13910.202,13986.508,1.372,1.372,27.581,dsfix
C0_DEFAULT,4096,2,D1_PUSHSIG_OVERLAP,DUSHMEM,5,13937.550,13938.590,10503.730,13871.872,13950.736,1.040,1.040,31.090,dsfix
C0_DEFAULT,4096,2,DC_PUSHSIG_ONLY,DUSHMEM,5,7489.512,7489.925,7479.595,7483.739,7498.927,0.413,0.413,5.430,formal
C0_DEFAULT,4096,2,DS_PUSHSIG_SERIAL,DUSHMEM,5,13887.380,13888.899,10452.861,13861.553,13963.543,1.519,1.519,34.829,dsfix
C0_DEFAULT,4096,2,FC_FCOLLECT_ONLY,DUSHMEM,5,11585.339,11601.098,11595.418,11585.828,11609.128,15.759,15.759,8.032,formal
C0_DEFAULT,4096,2,GEMM_ONLY,RCCL,5,6257.653,6263.887,0.000,6249.734,6284.532,6.234,6.234,11.144,formal
C0_DEFAULT,4096,2,R0_FULL_SERIAL,RCCL,5,4069.697,10829.233,4063.538,10827.872,10850.742,6759.535,6759.535,8.611,formal
C0_DEFAULT,4096,2,R1_EVENT_OVERLAP,RCCL,5,5128.752,8798.786,5120.673,8765.114,8838.623,3670.034,3670.034,27.672,formal
C0_DEFAULT,4096,2,RS_SLICE_SERIAL,RCCL,5,7553.495,10958.746,7547.096,10937.396,10991.062,3405.251,3405.251,20.431,formal
C0_DEFAULT,4096,4,COMM_ONLY,RCCL,5,4082.571,4088.090,4077.051,4086.490,4090.410,5.519,5.519,1.541,formal
C0_DEFAULT,4096,4,D0_FCOLLECT_SERIAL,DUSHMEM,5,11590.809,18357.463,11584.730,18332.889,18374.411,6766.654,6766.654,14.126,formal
C0_DEFAULT,4096,4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,12939.453,12941.133,11470.802,12928.154,12951.053,1.680,1.680,7.652,dsfix
C0_DEFAULT,4096,4,D1_PUSHSIG_OVERLAP,DUSHMEM,5,12897.117,12898.236,11434.718,12786.561,12914.635,1.120,1.120,46.142,dsfix
C0_DEFAULT,4096,4,DC_PUSHSIG_ONLY,DUSHMEM,5,7564.077,7562.957,7553.936,7496.945,7619.506,-1.120,-1.120,40.882,formal
C0_DEFAULT,4096,4,DS_PUSHSIG_SERIAL,DUSHMEM,5,12898.258,12899.458,11443.038,12784.083,12907.755,1.200,1.200,47.683,dsfix
C0_DEFAULT,4096,4,FC_FCOLLECT_ONLY,DUSHMEM,5,11584.710,11600.629,11595.030,11592.639,11611.347,15.919,15.919,6.249,formal
C0_DEFAULT,4096,4,GEMM_ONLY,RCCL,5,6100.783,6107.103,0.000,6096.222,6111.343,6.320,6.320,5.045,formal
C0_DEFAULT,4096,4,R0_FULL_SERIAL,RCCL,5,4071.770,10836.361,4066.011,10809.633,10855.118,6764.591,6764.591,16.129,formal
C0_DEFAULT,4096,4,R1_EVENT_OVERLAP,RCCL,5,5093.345,8272.903,5087.664,8263.544,8320.980,3179.557,3179.557,22.505,formal
C0_DEFAULT,4096,4,RS_SLICE_SERIAL,RCCL,5,8379.289,9772.181,8372.730,9767.292,9773.380,1392.892,1392.892,2.112,formal
C0_DEFAULT,4096,8,COMM_ONLY,RCCL,5,4238.481,4243.922,4232.882,4241.842,4246.481,5.440,5.440,1.573,formal
C0_DEFAULT,4096,8,D0_FCOLLECT_SERIAL,DUSHMEM,5,11581.850,18360.267,11575.919,18337.722,18368.583,6778.417,6778.417,10.701,formal
C0_DEFAULT,4096,8,D1W_WAITSTREAM_OVERLAP,DUSHMEM,5,14541.515,14543.436,13633.087,14419.442,14561.035,1.921,1.921,52.606,dsfix
C0_DEFAULT,4096,8,D1_PUSHSIG_OVERLAP,DUSHMEM,5,14484.284,14487.085,13564.356,14191.188,14565.129,2.800,2.800,131.549,dsfix
C0_DEFAULT,4096,8,DC_PUSHSIG_ONLY,DUSHMEM,5,11109.863,11114.985,11100.581,10946.584,11889.731,5.122,5.122,383.210,formal
C0_DEFAULT,4096,8,DS_PUSHSIG_SERIAL,DUSHMEM,5,14450.573,14453.213,13524.452,14187.709,14509.837,2.640,2.640,115.672,dsfix
C0_DEFAULT,4096,8,FC_FCOLLECT_ONLY,DUSHMEM,5,11589.051,11604.889,11599.289,11580.072,11626.784,15.838,15.838,16.128,formal
C0_DEFAULT,4096,8,GEMM_ONLY,RCCL,5,7130.480,7136.720,0.000,7127.126,7141.291,6.240,6.240,6.223,formal
C0_DEFAULT,4096,8,R0_FULL_SERIAL,RCCL,5,4067.691,10827.154,4061.612,10809.724,10846.201,6759.462,6759.462,13.791,formal
C0_DEFAULT,4096,8,R1_EVENT_OVERLAP,RCCL,5,5236.511,8772.738,5228.827,8744.788,8794.073,3536.228,3536.228,16.346,formal
C0_DEFAULT,4096,8,RS_SLICE_SERIAL,RCCL,5,10187.596,11016.591,10181.196,11009.462,11022.983,828.995,828.995,5.397,formal
C0_DEFAULT,4096,16,COMM_ONLY,RCCL,5,4562.704,4568.225,4557.265,4566.383,4571.988,5.520,5.520,2.048,dsfix
C0_DEFAULT,4096,16,R1_EVENT_OVERLAP,RCCL,5,5856.361,8853.051,5850.199,8818.167,8863.110,2996.690,2996.690,16.110,dsfix
C2_RING_SIMPLE_CH8,512,2,COMM_ONLY,RCCL,5,3892.501,3897.941,3887.061,3897.691,3901.381,5.440,5.440,1.427,formal
C2_RING_SIMPLE_CH8,512,2,R1_EVENT_OVERLAP,RCCL,5,3981.936,4536.626,3975.617,4534.021,4538.578,554.690,554.690,1.689,formal
C2_RING_SIMPLE_CH8,512,4,COMM_ONLY,RCCL,5,3985.617,3991.296,3980.097,3985.456,3998.340,5.679,5.679,4.384,formal
C2_RING_SIMPLE_CH8,512,4,R1_EVENT_OVERLAP,RCCL,5,4115.689,4476.549,4110.009,4472.229,4479.189,360.860,360.860,2.532,formal
C2_RING_SIMPLE_CH8,512,8,COMM_ONLY,RCCL,5,4157.367,4162.966,4151.926,4160.967,4164.727,5.599,5.599,1.257,formal
C2_RING_SIMPLE_CH8,512,8,R1_EVENT_OVERLAP,RCCL,5,4431.515,4681.898,4421.596,4680.698,4684.782,250.383,250.383,1.766,formal
C2_RING_SIMPLE_CH8,2048,2,COMM_ONLY,RCCL,5,3898.821,3904.341,3893.222,3902.101,3907.301,5.520,5.520,1.816,formal
C2_RING_SIMPLE_CH8,2048,2,R1_EVENT_OVERLAP,RCCL,5,4008.734,5742.637,4003.055,5736.557,5748.563,1733.903,1733.903,3.910,formal
C2_RING_SIMPLE_CH8,2048,4,COMM_ONLY,RCCL,5,3993.056,3998.575,3987.536,3993.376,4014.815,5.519,5.519,7.255,formal
C2_RING_SIMPLE_CH8,2048,4,R1_EVENT_OVERLAP,RCCL,5,4114.329,5035.478,4108.169,5034.037,5040.282,921.149,921.149,2.261,formal
C2_RING_SIMPLE_CH8,2048,8,COMM_ONLY,RCCL,5,4163.527,4169.206,4158.087,4166.407,4186.805,5.678,5.678,7.351,formal
C2_RING_SIMPLE_CH8,2048,8,R1_EVENT_OVERLAP,RCCL,5,4479.748,5696.881,4473.749,5688.326,5698.799,1217.133,1217.133,3.855,formal
C2_RING_SIMPLE_CH8,2048,16,COMM_ONLY,RCCL,5,4519.034,4524.630,4513.514,4520.466,4533.746,5.596,5.596,5.543,formal
C2_RING_SIMPLE_CH8,2048,16,R1_EVENT_OVERLAP,RCCL,5,5091.394,6143.738,5084.914,6136.702,6153.176,1052.344,1052.344,6.390,formal
C2_RING_SIMPLE_CH8,4096,2,COMM_ONLY,RCCL,5,3900.101,3905.624,3894.661,3903.381,3906.101,5.523,5.523,0.978,formal
C2_RING_SIMPLE_CH8,4096,2,R1_EVENT_OVERLAP,RCCL,5,4294.006,8438.165,4286.244,8402.664,8513.442,4144.159,4144.159,41.499,formal
C2_RING_SIMPLE_CH8,4096,4,COMM_ONLY,RCCL,5,3995.651,4001.091,3990.054,3993.216,4008.336,5.440,5.440,4.839,formal
C2_RING_SIMPLE_CH8,4096,4,R1_EVENT_OVERLAP,RCCL,5,4345.675,8262.423,4338.240,8258.344,8264.257,3916.747,3916.747,1.965,formal
C2_RING_SIMPLE_CH8,4096,8,COMM_ONLY,RCCL,5,4165.526,4171.050,4159.926,4168.807,4173.871,5.524,5.524,1.644,formal
C2_RING_SIMPLE_CH8,4096,8,R1_EVENT_OVERLAP,RCCL,5,4930.048,8617.604,4923.644,8597.764,8622.884,3687.556,3687.556,9.160,formal
C2_RING_SIMPLE_CH8,4096,16,COMM_ONLY,RCCL,5,4523.346,4528.945,4517.830,4525.270,4531.989,5.600,5.600,2.133,dsfix
C2_RING_SIMPLE_CH8,4096,16,R1_EVENT_OVERLAP,RCCL,5,5020.440,8911.101,5013.800,8905.908,8915.020,3890.661,3890.661,3.594,dsfix
