case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case269_r1_C0_DEFAULT_N2048_q4_rep4,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,2048,2048,4,4,80,0,PASS,1060.740,1052.261,1077.539,4272.883,4249.361,4302.958,4290.403,4265.521,4316.398,1071.059,1062.661,1088.099,5116.993,5079.724,5151.230,4049.615,4015.935,4087.451,5122.913,5085.324,5156.670
case270_r1_C0_DEFAULT_N2048_q4_rep5,R1_EVENT_OVERLAP,RCCL,C0_DEFAULT,2048,2048,2048,4,5,80,0,PASS,1065.700,1055.621,1082.179,4273.760,4253.842,4304.719,4290.079,4270.328,4324.878,1075.860,1065.860,1092.258,5114.273,5079.875,5170.270,4043.534,4016.735,4098.971,5119.872,5085.315,5175.869
case271_r1_C2_RING_SIMPLE_CH8_N2048_q4_rep1,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,4,1,80,0,PASS,1040.341,1031.143,1057.701,4110.010,4101.209,4132.408,4116.168,4107.450,4138.328,1050.501,1041.223,1068.099,5032.278,5001.959,5071.084,3983.060,3961.059,4029.861,5037.878,5007.559,5076.684
case272_r1_C2_RING_SIMPLE_CH8_N2048_q4_rep2,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,4,2,80,0,PASS,1042.582,1033.862,1056.421,4111.050,4101.689,4132.729,4117.609,4107.290,4140.248,1052.661,1043.941,1066.980,5029.077,4993.161,5079.877,3981.617,3956.099,4038.013,5034.998,4998.760,5085.477
case273_r1_C2_RING_SIMPLE_CH8_N2048_q4_rep3,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,4,3,80,0,PASS,1037.862,1031.462,1056.580,4107.850,4099.930,4127.128,4113.689,4106.650,4132.727,1048.021,1041.702,1066.820,5028.517,4994.289,5068.836,3983.376,3958.185,4020.742,5034.037,5000.049,5074.596
case274_r1_C2_RING_SIMPLE_CH8_N2048_q4_rep4,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,4,4,80,0,PASS,1042.021,1034.342,1055.141,4108.009,4101.691,4134.489,4113.929,4107.290,4140.249,1052.261,1044.901,1065.540,5029.958,4993.161,5061.637,3983.937,3950.665,4022.662,5035.478,4998.768,5067.237
case275_r1_C2_RING_SIMPLE_CH8_N2048_q4_rep5,R1_EVENT_OVERLAP,RCCL,C2_RING_SIMPLE_CH8,2048,2048,2048,4,5,80,0,PASS,1040.262,1031.462,1058.181,4108.169,4101.210,4134.008,4114.329,4106.969,4139.775,1050.421,1042.181,1068.260,5034.602,4992.360,5081.476,3988.179,3951.139,4021.214,5040.282,4998.439,5087.075
case276_fc_C0_DEFAULT_N2048_q4_rep1,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,1,80,0,PASS,11572.072,11455.839,11827.196,11572.072,11455.839,11827.196,11561.752,11445.759,11816.637,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11577.670,11461.438,11832.956
case277_fc_C0_DEFAULT_N2048_q4_rep2,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,2,80,0,PASS,11557.111,11437.117,11746.219,11557.111,11437.117,11746.219,11546.791,11426.558,11736.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11562.872,11442.877,11751.658
case278_fc_C0_DEFAULT_N2048_q4_rep3,FC_FCOLLECT_ONLY,DUSHMEM,C0_DEFAULT,2048,2048,2048,4,3,80,0,PASS,11542.552,11398.580,11759.660,11542.552,11398.580,11759.660,11532.711,11388.180,11749.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11548.230,11404.179,11765.099
