case_id,path,candidate,N,q,rep,slice_index,t_release_med_us,t_gemm_start_med_us,t_gemm_end_med_us,t_gemm_duration_med_us
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,1,0,2157.2,2162.9,2475.7,331.6
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,1,1,4442.5,4448.0,4746.0,323.1
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,1,2,6674.1,6679.9,6991.9,323.4
case021_d1_C0_DEFAULT_N512_q4_rep1,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,1,3,8729.2,8734.6,9048.2,301.3
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,2,0,2172.6,2178.1,2501.0,336.9
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,2,1,4512.9,4518.5,4875.2,324.7
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,2,2,6793.1,6798.5,7153.7,327.9
case022_d1_C0_DEFAULT_N512_q4_rep2,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,2,3,8972.6,8978.1,9258.3,295.4
case023_d1_C0_DEFAULT_N512_q4_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,3,0,2158.8,2164.3,2476.6,332.3
case023_d1_C0_DEFAULT_N512_q4_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,3,1,4454.6,4460.2,4767.8,320.6
case023_d1_C0_DEFAULT_N512_q4_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,3,2,6756.9,6762.4,7061.3,319.7
case023_d1_C0_DEFAULT_N512_q4_rep3,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,3,3,8796.4,8801.9,9092.1,294.7
case024_d1_C0_DEFAULT_N512_q4_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,4,0,2144.9,2150.5,2446.3,333.2
case024_d1_C0_DEFAULT_N512_q4_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,4,1,4321.4,4326.9,4626.2,325.5
case024_d1_C0_DEFAULT_N512_q4_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,4,2,6512.4,6518.2,6843.8,326.7
case024_d1_C0_DEFAULT_N512_q4_rep4,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,4,3,8541.8,8547.4,8821.3,283.7
case025_d1_C0_DEFAULT_N512_q4_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,5,0,2164.0,2169.6,2470.7,328.5
case025_d1_C0_DEFAULT_N512_q4_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,5,1,4421.1,4426.6,4728.2,328.2
case025_d1_C0_DEFAULT_N512_q4_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,5,2,6662.3,6667.8,6968.8,325.9
case025_d1_C0_DEFAULT_N512_q4_rep5,D1_PUSHSIG_OVERLAP,C0_DEFAULT,512,4,5,3,8668.3,8673.9,8945.7,284.3
case026_d1w_C0_DEFAULT_N512_q4_rep1,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,1,0,2159.2,2179.2,2475.1,331.3
case026_d1w_C0_DEFAULT_N512_q4_rep1,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,1,1,4414.7,4433.6,4707.3,320.4
case026_d1w_C0_DEFAULT_N512_q4_rep1,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,1,2,6661.4,6681.2,6975.1,319.2
case026_d1w_C0_DEFAULT_N512_q4_rep1,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,1,3,8719.6,8740.2,9000.9,289.7
case027_d1w_C0_DEFAULT_N512_q4_rep2,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,2,0,2131.0,2149.5,2448.6,343.7
case027_d1w_C0_DEFAULT_N512_q4_rep2,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,2,1,4411.0,4429.7,4710.4,321.8
case027_d1w_C0_DEFAULT_N512_q4_rep2,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,2,2,6549.6,6568.4,6877.3,318.6
case027_d1w_C0_DEFAULT_N512_q4_rep2,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,2,3,8933.6,8955.7,9272.3,289.4
case028_d1w_C0_DEFAULT_N512_q4_rep3,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,3,0,2151.7,2172.0,2477.5,336.7
case028_d1w_C0_DEFAULT_N512_q4_rep3,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,3,1,4471.5,4491.0,4801.7,321.5
case028_d1w_C0_DEFAULT_N512_q4_rep3,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,3,2,6761.2,6780.8,7094.8,319.5
case028_d1w_C0_DEFAULT_N512_q4_rep3,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,3,3,8808.7,8828.7,9124.6,292.1
case029_d1w_C0_DEFAULT_N512_q4_rep4,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,4,0,2151.4,2173.5,2473.9,335.3
case029_d1w_C0_DEFAULT_N512_q4_rep4,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,4,1,4440.7,4468.6,4765.2,324.4
case029_d1w_C0_DEFAULT_N512_q4_rep4,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,4,2,6744.9,6769.8,7076.7,322.5
case029_d1w_C0_DEFAULT_N512_q4_rep4,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,4,3,8812.7,8831.7,9104.1,277.3
case030_d1w_C0_DEFAULT_N512_q4_rep5,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,5,0,2153.2,2172.1,2463.5,344.0
case030_d1w_C0_DEFAULT_N512_q4_rep5,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,5,1,4367.2,4386.3,4666.7,325.2
case030_d1w_C0_DEFAULT_N512_q4_rep5,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,5,2,6687.8,6706.4,7003.1,320.5
case030_d1w_C0_DEFAULT_N512_q4_rep5,D1W_WAITSTREAM_OVERLAP,C0_DEFAULT,512,4,5,3,8725.0,8744.1,9006.5,272.9
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,1,0,1070.6,1076.6,1342.0,264.9
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,1,1,2279.4,2285.1,2532.3,248.1
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,1,2,3497.9,3503.6,3754.8,249.5
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,1,3,9192.9,9198.8,9467.5,248.6
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,1,4,12279.1,12284.7,12543.9,248.1
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,1,5,14161.1,14166.7,14409.3,246.0
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,1,6,16097.5,16103.1,16341.7,246.6
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,1,7,17301.8,17307.3,17551.2,244.6
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,2,0,1070.3,1075.9,1337.8,261.1
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,2,1,2279.8,2285.6,2540.3,251.1
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,2,2,3475.2,3480.9,3733.0,252.8
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,2,3,7072.1,7077.9,7333.7,251.3
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,2,4,9878.3,9884.2,10144.9,251.3
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,2,5,13328.3,13334.0,13572.9,249.0
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,2,6,15779.0,15784.8,16034.7,249.8
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,2,7,17234.2,17239.7,17476.6,243.8
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,3,0,1070.2,1075.8,1335.2,258.6
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,3,1,2279.0,2284.4,2532.8,250.1
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,3,2,3476.4,3482.1,3731.2,249.8
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,3,3,6260.2,6265.8,6516.8,249.9
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,3,4,8428.3,8434.1,8677.2,248.4
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,3,5,13167.0,13173.3,13411.9,247.5
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,3,6,16033.2,16039.2,16284.0,246.0
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,3,7,17419.7,17425.0,17668.5,244.1
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,4,0,1070.7,1076.9,1336.4,260.3
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,4,1,2279.4,2285.0,2534.6,251.8
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,4,2,3477.4,3482.9,3741.9,252.2
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,4,3,6127.4,6133.4,6761.6,251.7
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,4,4,9539.5,9545.1,9800.1,251.6
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,C0_DEFAULT,512,8,4,5,12838.7,12844.1,13096.9,250.1
