case_id,path,family,candidate,M_local,N,K,q,rep,iterations,iteration_failures,status,t_release_first_max_us_p50,t_release_first_max_us_p05,t_release_first_max_us_p95,t_release_last_max_us_p50,t_release_last_max_us_p05,t_release_last_max_us_p95,t_done_max_us_p50,t_done_max_us_p05,t_done_max_us_p95,gemm_first_start_max_us_p50,gemm_first_start_max_us_p05,gemm_first_start_max_us_p95,gemm_last_end_max_us_p50,gemm_last_end_max_us_p05,gemm_last_end_max_us_p95,gemm_interval_max_us_p50,gemm_interval_max_us_p05,gemm_interval_max_us_p95,e2e_max_us_p50,e2e_max_us_p05,e2e_max_us_p95
case030_d1w_C0_DEFAULT_N512_q4_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,4,5,80,0,PASS,2153.162,2085.647,8604.955,8724.950,8197.299,16451.266,9055.571,8511.202,16764.047,2172.122,2104.206,8643.833,9006.454,8463.204,16718.451,6555.390,6385.562,14560.460,9054.450,8509.922,16763.088
case031_ds_C0_DEFAULT_N512_q8_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,1,80,0,PASS,1070.581,1066.980,9271.319,17301.827,9354.051,22050.604,17664.861,10779.395,22351.066,1076.581,1072.422,9276.599,17551.171,9603.158,22274.750,16400.597,8272.974,17840.307,17665.342,10780.514,22352.986
case032_ds_C0_DEFAULT_N512_q8_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,2,80,0,PASS,1070.340,1066.022,9095.488,17234.232,9433.549,23058.221,17785.175,12009.564,23988.410,1075.861,1071.461,9101.089,17476.618,9681.375,23307.648,16348.841,8421.941,18469.682,17785.176,12012.443,23994.971
case033_ds_C0_DEFAULT_N512_q8_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,3,80,0,PASS,1070.186,1066.419,9220.899,17419.670,9278.031,23114.865,17770.663,11362.532,23410.076,1075.800,1072.019,9226.340,17668.476,9525.883,23362.877,16538.885,8435.850,19677.121,17770.503,11362.692,23410.236
case034_ds_C0_DEFAULT_N512_q8_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,4,80,0,PASS,1070.722,1067.367,9821.831,17460.732,9383.356,23146.582,17825.865,9915.572,23444.344,1076.882,1072.967,9828.391,17707.853,9631.836,23395.705,16383.426,8344.952,18238.943,17825.945,9916.691,23444.504
case035_ds_C0_DEFAULT_N512_q8_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,512,2048,8,5,80,0,PASS,1071.782,1066.662,11364.021,17502.934,9098.849,26024.617,18071.881,11964.286,26376.115,1077.381,1072.741,11370.101,17752.359,9345.875,26327.160,16599.147,8255.536,20279.498,18074.921,11968.927,26376.115
case036_d1_C0_DEFAULT_N512_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,8,1,80,0,PASS,1070.261,1065.380,8699.031,17192.634,9365.570,25955.025,17595.251,11936.769,26265.725,1075.700,1070.822,8704.631,17441.658,9612.117,26218.369,15989.916,8536.655,20911.625,17598.290,11936.769,26265.885
case037_d1_C0_DEFAULT_N512_q8_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,8,2,80,0,PASS,1072.022,1067.942,11681.605,17383.581,9117.408,23909.057,17812.757,9415.631,24202.160,1077.542,1073.542,11687.204,17644.286,9357.874,24147.604,16561.468,8286.894,18782.781,17816.037,9415.791,24203.119
case038_d1_C0_DEFAULT_N512_q8_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,8,3,80,0,PASS,1070.662,1066.340,11770.559,17322.176,9432.910,22649.006,17679.887,13277.653,23179.377,1076.182,1071.780,11775.998,17564.964,9675.474,22897.633,16535.148,8560.974,18165.893,17681.006,13277.494,23179.217
case039_d1_C0_DEFAULT_N512_q8_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,512,2048,8,4,80,0,PASS,1073.782,1067.462,12583.476,16911.225,10296.065,25299.584,17286.627,12704.907,25589.328,1079.620,1072.902,12588.915,17165.532,10545.971,25536.689,16004.699,9889.204,18223.615,17287.988,12705.066,25590.449
