case_id,path,family,candidate,N,q,rep,iterations,release_first_med_us,release_last_med_us,release_pacing_med_us,release_to_gemm_delay_med_us,gemm_dur_med_us
case070_d1_C0_DEFAULT_N2048_q4_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,5,80,2034.9,9496.7,2482.1,5.6,774.6
case071_d1w_C0_DEFAULT_N2048_q4_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,1,80,2034.3,9474.9,2480.8,18.7,770.1
case072_d1w_C0_DEFAULT_N2048_q4_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,2,80,2036.1,9521.6,2482.6,20.6,774.5
case073_d1w_C0_DEFAULT_N2048_q4_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,3,80,2034.0,9507.6,2489.0,20.3,772.8
case074_d1w_C0_DEFAULT_N2048_q4_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,4,80,2034.1,9507.0,2490.7,19.5,770.5
case075_d1w_C0_DEFAULT_N2048_q4_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,4,5,80,2033.0,9503.5,2486.3,19.7,765.6
case076_ds_C0_DEFAULT_N2048_q8_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,8,1,80,1080.2,17871.2,1397.7,5.6,466.9
case077_ds_C0_DEFAULT_N2048_q8_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,8,2,80,1079.5,17846.9,1385.0,5.6,460.4
case078_ds_C0_DEFAULT_N2048_q8_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,8,3,80,1080.5,17507.3,1407.5,5.6,462.8
case079_ds_C0_DEFAULT_N2048_q8_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,8,4,80,1080.1,17336.3,1397.0,5.6,464.6
case080_ds_C0_DEFAULT_N2048_q8_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,8,5,80,1080.5,17912.3,1405.6,5.5,467.5
case081_d1_C0_DEFAULT_N2048_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,1,80,1081.2,17624.7,1414.7,5.6,467.8
case082_d1_C0_DEFAULT_N2048_q8_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,2,80,1081.4,17443.6,1410.2,5.6,466.6
case083_d1_C0_DEFAULT_N2048_q8_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,3,80,1079.6,18092.3,1409.0,5.6,465.7
case084_d1_C0_DEFAULT_N2048_q8_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,4,80,1079.5,18087.4,1402.5,5.6,464.5
case085_d1_C0_DEFAULT_N2048_q8_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,5,80,1079.5,17345.7,1404.2,5.6,466.7
case086_d1w_C0_DEFAULT_N2048_q8_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,1,80,1080.3,18127.2,1419.7,20.5,456.9
case087_d1w_C0_DEFAULT_N2048_q8_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,2,80,1079.0,17802.5,1419.1,20.5,454.2
case088_d1w_C0_DEFAULT_N2048_q8_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,3,80,1079.6,17409.8,1423.3,20.5,455.2
case089_d1w_C0_DEFAULT_N2048_q8_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,4,80,1078.8,16928.9,1412.6,19.5,454.1
case090_d1w_C0_DEFAULT_N2048_q8_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,2048,8,5,80,1079.8,17171.1,1420.6,20.5,456.5
case091_ds_C0_DEFAULT_N4096_q2_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,2,1,80,3917.1,10437.1,6519.1,5.6,3429.8
case092_ds_C0_DEFAULT_N4096_q2_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,2,2,80,3921.1,10488.2,6548.6,5.4,3435.5
case093_ds_C0_DEFAULT_N4096_q2_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,2,3,80,3920.8,10495.5,6553.2,5.6,3436.3
case094_ds_C0_DEFAULT_N4096_q2_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,2,4,80,3920.6,10446.0,6517.2,5.6,3422.3
case095_ds_C0_DEFAULT_N4096_q2_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,2,5,80,3916.2,10452.9,6534.1,5.6,3431.0
case096_d1_C0_DEFAULT_N4096_q2_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,1,80,3923.8,10509.8,6590.7,5.6,3423.3
case097_d1_C0_DEFAULT_N4096_q2_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,2,80,3915.6,10511.2,6575.8,5.4,3434.8
case098_d1_C0_DEFAULT_N4096_q2_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,3,80,3918.3,10474.0,6539.1,5.4,3432.4
case099_d1_C0_DEFAULT_N4096_q2_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,4,80,3919.5,10490.1,6562.8,5.6,3434.8
case100_d1_C0_DEFAULT_N4096_q2_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,5,80,3917.9,10503.7,6558.7,5.4,3434.5
case101_d1w_C0_DEFAULT_N4096_q2_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,1,80,3920.4,10491.0,6569.5,19.7,3425.6
case102_d1w_C0_DEFAULT_N4096_q2_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,2,80,3920.6,10473.1,6554.2,19.4,3427.6
case103_d1w_C0_DEFAULT_N4096_q2_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,3,80,3918.4,10523.6,6581.6,19.4,3416.8
case104_d1w_C0_DEFAULT_N4096_q2_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,4,80,3918.9,10526.9,6600.3,19.2,3432.0
case105_d1w_C0_DEFAULT_N4096_q2_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,2,5,80,3919.6,10522.8,6577.1,19.4,3433.2
case106_ds_C0_DEFAULT_N4096_q4_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,4,1,80,2033.9,11447.5,3136.7,5.6,1399.7
case107_ds_C0_DEFAULT_N4096_q4_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,4,2,80,2034.6,11440.6,3138.6,5.6,1400.4
case108_ds_C0_DEFAULT_N4096_q4_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,4,3,80,2034.8,11443.0,3134.1,5.4,1398.4
case109_ds_C0_DEFAULT_N4096_q4_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,4,4,80,2031.5,11328.2,3098.1,5.6,1399.1
case110_ds_C0_DEFAULT_N4096_q4_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,4,5,80,2033.1,11447.8,3137.4,5.4,1397.5
case111_d1_C0_DEFAULT_N4096_q4_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,1,80,2036.3,11447.9,3136.9,5.6,1401.3
case112_d1_C0_DEFAULT_N4096_q4_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,2,80,2032.9,11331.4,3098.5,5.6,1398.3
case113_d1_C0_DEFAULT_N4096_q4_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,3,80,2034.0,11411.6,3129.0,5.4,1400.6
case114_d1_C0_DEFAULT_N4096_q4_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,4,80,2033.9,11452.3,3137.1,5.4,1400.7
case115_d1_C0_DEFAULT_N4096_q4_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,5,80,2034.8,11434.7,3137.0,5.6,1399.0
case116_d1w_C0_DEFAULT_N4096_q4_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,1,80,2033.3,11470.8,3147.2,19.8,1395.4
case117_d1w_C0_DEFAULT_N4096_q4_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,2,80,2033.7,11477.6,3145.9,19.3,1392.1
case118_d1w_C0_DEFAULT_N4096_q4_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,3,80,2030.8,11458.9,3144.1,19.0,1392.2
case119_d1w_C0_DEFAULT_N4096_q4_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,4,80,2034.0,11485.7,3151.9,19.4,1393.4
case120_d1w_C0_DEFAULT_N4096_q4_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,4,5,80,2030.9,11469.5,3143.1,19.2,1394.0
case121_ds_C0_DEFAULT_N4096_q8_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,8,1,80,1078.7,13524.5,1737.7,5.6,833.4
case122_ds_C0_DEFAULT_N4096_q8_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,8,2,80,1079.6,13596.2,1775.1,5.6,836.6
case123_ds_C0_DEFAULT_N4096_q8_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,8,3,80,1077.2,13270.3,1716.1,5.6,835.1
case124_ds_C0_DEFAULT_N4096_q8_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,8,4,80,1080.3,13533.7,1768.1,5.6,837.5
case125_ds_C0_DEFAULT_N4096_q8_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,4096,8,5,80,1078.0,13413.1,1712.5,5.6,834.0
case126_d1_C0_DEFAULT_N4096_q8_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,1,80,1080.3,13648.8,1766.2,5.6,838.4
case127_d1_C0_DEFAULT_N4096_q8_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,2,80,1080.3,13599.4,1769.5,5.6,837.5
case128_d1_C0_DEFAULT_N4096_q8_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,3,80,1080.4,13531.9,1757.9,5.6,834.3
case129_d1_C0_DEFAULT_N4096_q8_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,4,80,1078.7,13268.6,1723.6,5.6,837.7
case130_d1_C0_DEFAULT_N4096_q8_rep5,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,5,80,1081.0,13564.4,1771.2,5.6,836.6
case131_d1w_C0_DEFAULT_N4096_q8_rep1,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,1,80,1080.3,13658.5,1776.8,20.3,827.0
case132_d1w_C0_DEFAULT_N4096_q8_rep2,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,2,80,1080.1,13633.1,1781.5,20.5,825.1
case133_d1w_C0_DEFAULT_N4096_q8_rep3,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,3,80,1079.4,13554.5,1765.9,20.5,827.3
case134_d1w_C0_DEFAULT_N4096_q8_rep4,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,4,80,1078.8,13471.6,1746.5,20.2,824.8
case135_d1w_C0_DEFAULT_N4096_q8_rep5,D1W_WAITSTREAM_OVERLAP,DUSHMEM,C0_DEFAULT,4096,8,5,80,1080.5,13645.2,1770.2,20.2,824.8
case136_ds_C0_DEFAULT_N2048_q16_rep1,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,16,1,80,601.2,23042.4,740.0,5.4,236.3
case137_ds_C0_DEFAULT_N2048_q16_rep2,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,16,2,80,603.2,23730.2,735.6,5.6,241.3
case138_ds_C0_DEFAULT_N2048_q16_rep3,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,16,3,80,605.5,22998.1,717.1,5.4,244.9
case139_ds_C0_DEFAULT_N2048_q16_rep4,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,16,4,80,600.2,22216.4,684.8,5.4,240.2
case140_ds_C0_DEFAULT_N2048_q16_rep5,DS_PUSHSIG_SERIAL,DUSHMEM,C0_DEFAULT,2048,16,5,80,601.7,24257.2,740.3,5.4,237.9
case141_d1_C0_DEFAULT_N2048_q16_rep1,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,16,1,80,790.4,22897.1,732.1,5.6,236.6
case142_d1_C0_DEFAULT_N2048_q16_rep2,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,16,2,80,2456.3,21679.7,706.3,5.4,239.0
case143_d1_C0_DEFAULT_N2048_q16_rep3,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,16,3,80,606.4,22838.4,740.9,5.4,246.2
case144_d1_C0_DEFAULT_N2048_q16_rep4,D1_PUSHSIG_OVERLAP,DUSHMEM,C0_DEFAULT,2048,16,4,80,603.9,21823.5,717.8,5.6,241.4
