path,candidate,M,N,K,q,slice_index,slice_bytes,sample_count,release_p05_us,release_p50_us,release_p95_us,gemm_start_p50_us,gemm_end_p50_us,gemm_duration_p50_us,consumer_wait_p50_us
H0_EVENT_OVERLAP,C0_DEFAULT,2048,2048,2048,8,7,2097152,400,4472.229000,4484.948500,4522.322600,4746.619000,5162.991000,417.737000,261.828500
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,2,0,8388608,400,2027.406950,2038.046000,2056.044000,2048.604500,3989.079000,1949.172500,10.559000
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,2,1,8388608,400,4143.429650,4161.656000,4192.091600,4171.766000,5335.861500,1174.605500,10.079000
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,8,0,2097152,400,557.568950,564.448000,579.976000,574.848000,1260.329000,690.762000,10.560000
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,8,1,2097152,400,1104.881050,1114.498000,1132.584000,1287.608000,1893.654000,615.566000,172.870000
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,8,2,2097152,400,1666.299900,1676.546000,1697.872900,1921.492000,2484.500500,585.808000,243.587500
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,8,3,2097152,400,2222.275000,2233.474500,2255.249950,2512.179000,3058.068500,561.089000,278.864000
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,8,4,2097152,400,2778.083950,2789.283500,2812.491000,3085.506500,3627.717000,550.209000,296.463000
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,8,5,2097152,400,3343.323200,3356.055000,3379.842000,3655.794000,4193.608000,547.170000,299.023000
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,8,6,2097152,400,3908.557000,3922.500500,3947.163850,4220.802500,4738.775000,525.410000,298.224000
H0_EVENT_OVERLAP,C1_RING_SIMPLE_CH4,2048,2048,2048,8,7,2097152,400,4472.853000,4487.908500,4513.532000,4750.054000,5166.990000,417.896000,262.225000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,2,0,8388608,400,1992.524600,2003.248000,2020.630950,2013.738000,3778.437000,1777.739500,10.400000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,2,1,8388608,400,3952.733050,3965.857000,4008.926000,3975.731000,5141.348000,1175.027500,10.080000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,8,0,2097152,400,551.809000,559.047000,574.124350,569.288500,1343.254500,778.266500,10.399000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,8,1,2097152,400,1082.777500,1089.923000,1104.840750,1384.850500,1978.282000,605.517500,294.837500
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,8,2,2097152,400,1623.521150,1631.108000,1648.213850,2018.682500,2687.226500,671.330000,387.659000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,8,3,2097152,400,2177.318000,2186.466500,2203.554100,2704.467000,3397.188500,723.100500,518.533000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,8,4,2097152,400,2726.192450,2736.690000,2758.385050,3439.263500,4109.640000,679.311000,700.134000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,8,5,2097152,400,3276.335250,3286.885500,3309.962300,4151.431500,4673.501500,533.357000,861.001000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,8,6,2097152,400,3823.630700,3836.423500,3860.285900,4684.828000,5103.629500,420.561000,847.604000
H0_EVENT_OVERLAP,C2_RING_SIMPLE_CH8,2048,2048,2048,8,7,2097152,400,4365.179450,4377.524500,4403.091850,5114.938000,5531.689000,417.785000,736.623500
