path,candidate,M,N,K,q,sample_count,pass_count,fail_count,e2e_mean_us,e2e_p50_us,e2e_p05_us,e2e_p95_us,e2e_std_us,e2e_cv_percent,t_done_mean_us,release_first_mean_us,release_last_mean_us,gemm_interval_mean_us,gemm_tflops_mean,notes
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,512,2048,2,150,150,0,4800.877213,4756.373500,4740.778100,4777.317850,313.260494,6.525068,4427.048567,2032.124853,4420.712493,2757.357567,6.244553,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,512,2048,4,150,150,0,4967.414867,4901.005000,4889.132550,4982.264000,371.171366,7.472123,4756.155180,1050.041187,4749.808940,3906.385700,4.415567,raw global samples aggregated; synthetic Phase-1 shapes only
B1_SLICE_SERIAL,C2_RING_SIMPLE_CH8,2048,512,2048,8,150,150,0,6033.495560,5992.383000,5955.721550,6097.546000,251.585956,4.169821,5825.657467,548.778813,5819.285580,5474.640260,3.142920,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,128,128,128,1,5,5,0,94.299000,89.275000,82.907800,114.394200,14.760458,15.652826,88.859200,83.291600,83.291600,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,128,128,128,2,5,5,0,128.728600,127.352000,123.385000,135.768200,5.674189,4.407869,123.161000,80.635000,117.625200,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,128,2048,1,50,50,0,3954.195520,3911.060500,3888.573550,3924.539000,324.043345,8.194925,3948.682300,3943.146640,3943.146640,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,128,2048,2,50,50,0,3961.704320,3961.297000,3954.698000,3970.529000,5.024678,0.126831,3956.171800,1978.365840,3950.687280,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,128,2048,4,50,50,0,4031.537180,4030.333500,4026.406000,4041.557000,5.154499,0.127854,4026.033460,1009.124220,4020.539460,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,128,2048,8,50,50,0,4240.376740,4196.324500,4190.060900,4205.652000,312.067010,7.359417,4234.872960,527.941660,4229.388460,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
COMM_ONLY,C0_DEFAULT,2048,2048,2048,1,50,50,0,3915.855000,3918.264000,3893.360700,3936.382300,13.052177,0.333316,3910.341680,3904.850720,3904.850720,0.000000,0.000000,raw global samples aggregated; synthetic Phase-1 shapes only
