case_id	phase	repetition	ranks	shape_id	m_local	n	k	q	path	candidate	status	started_utc	ended_utc	case_dir
phase2_b1_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8	phase2_b1	5	4	S03_CONFIRM	2048	2048	2048	2	b1	C2_RING_SIMPLE_CH8	0	2026-08-31T11:04:36Z	2026-08-31T11:04:49Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_b1_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q2_b1_C2_RING_SIMPLE_CH8
phase2_gemm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_gemm_C0_DEFAULT	phase2_gemm	1	4	S03_CONFIRM	2048	2048	2048	2	gemm	C0_DEFAULT	0	2026-08-31T11:04:49Z	2026-08-31T11:05:01Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_gemm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q2_gemm_C0_DEFAULT
phase2_gemm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_gemm_C0_DEFAULT	phase2_gemm	2	4	S03_CONFIRM	2048	2048	2048	2	gemm	C0_DEFAULT	0	2026-08-31T11:05:01Z	2026-08-31T11:05:13Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_gemm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q2_gemm_C0_DEFAULT
phase2_gemm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_gemm_C0_DEFAULT	phase2_gemm	3	4	S03_CONFIRM	2048	2048	2048	2	gemm	C0_DEFAULT	0	2026-08-31T11:05:13Z	2026-08-31T11:05:26Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_gemm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q2_gemm_C0_DEFAULT
phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT	phase2_comm	1	4	S03_CONFIRM	2048	2048	2048	8	comm	C0_DEFAULT	0	2026-08-31T11:05:26Z	2026-08-31T11:05:38Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT
phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT	phase2_comm	2	4	S03_CONFIRM	2048	2048	2048	8	comm	C0_DEFAULT	0	2026-08-31T11:05:38Z	2026-08-31T11:05:51Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT
phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT	phase2_comm	3	4	S03_CONFIRM	2048	2048	2048	8	comm	C0_DEFAULT	0	2026-08-31T11:05:51Z	2026-08-31T11:06:03Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT
phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT	phase2_comm	4	4	S03_CONFIRM	2048	2048	2048	8	comm	C0_DEFAULT	0	2026-08-31T11:06:03Z	2026-08-31T11:06:15Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT
phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT	phase2_comm	5	4	S03_CONFIRM	2048	2048	2048	8	comm	C0_DEFAULT	0	2026-08-31T11:06:15Z	2026-08-31T11:06:28Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C0_DEFAULT
phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4	phase2_comm	1	4	S03_CONFIRM	2048	2048	2048	8	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T11:06:28Z	2026-08-31T11:06:40Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r1_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4
phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4	phase2_comm	2	4	S03_CONFIRM	2048	2048	2048	8	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T11:06:40Z	2026-08-31T11:06:53Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r2_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4
phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4	phase2_comm	3	4	S03_CONFIRM	2048	2048	2048	8	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T11:06:53Z	2026-08-31T11:07:05Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r3_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4
phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4	phase2_comm	4	4	S03_CONFIRM	2048	2048	2048	8	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T11:07:05Z	2026-08-31T11:07:17Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r4_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4
phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4	phase2_comm	5	4	S03_CONFIRM	2048	2048	2048	8	comm	C1_RING_SIMPLE_CH4	0	2026-08-31T11:07:17Z	2026-08-31T11:07:30Z	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/phase2_release_curve_20260831_105000/cases/phase2_comm_r5_S03_CONFIRM_p4_m2048_n2048_k2048_q8_comm_C1_RING_SIMPLE_CH4
